comparison,a_run,b_run,a_adapter,b_adapter,metric,point_delta,ci95_low,ci95_high,groups,iterations
delta_vs_sft,r028,r004,step50,sft_best,ifeval_prompt_strict_accuracy,-0.0625,-0.11458333333333333,-0.010416666666666666,96,1000
delta_vs_sft,r028,r004,final,sft_best,ifeval_prompt_strict_accuracy,-0.11458333333333333,-0.17708333333333334,-0.052083333333333336,96,1000
delta_vs_sft,r029,r004,step50,sft_best,ifeval_prompt_strict_accuracy,-0.052083333333333336,-0.11458333333333333,0.0,96,1000
delta_vs_sft,r029,r004,final,sft_best,ifeval_prompt_strict_accuracy,-0.07291666666666667,-0.125,-0.020833333333333332,96,1000
delta_vs_sft,s3d001,r004,step50,sft_best,ifeval_prompt_strict_accuracy,-0.0625,-0.125,-0.010416666666666666,96,1000
delta_vs_sft,s3d001,r004,final,sft_best,ifeval_prompt_strict_accuracy,-0.10416666666666667,-0.16666666666666666,-0.041666666666666664,96,1000
delta_vs_sft,s3d002,r004,step50,sft_best,ifeval_prompt_strict_accuracy,-0.052083333333333336,-0.10416666666666667,0.0,96,1000
delta_vs_sft,s3d002,r004,final,sft_best,ifeval_prompt_strict_accuracy,-0.07291666666666667,-0.125,-0.03125,96,1000
step50_vs_final,r028,r028,step50,final,ifeval_prompt_strict_accuracy,0.052083333333333336,0.0,0.10416666666666667,96,1000
step50_vs_final,r029,r029,step50,final,ifeval_prompt_strict_accuracy,0.020833333333333332,-0.020833333333333332,0.0625,96,1000
step50_vs_final,s3d001,s3d001,step50,final,ifeval_prompt_strict_accuracy,0.041666666666666664,0.0,0.09375,96,1000
step50_vs_final,s3d002,s3d002,step50,final,ifeval_prompt_strict_accuracy,0.020833333333333332,-0.020833333333333332,0.0625,96,1000
