run_id,claim_name,source_recipe,family,adapter_label,BFCL_core_accuracy,When2Call_macro_F1,When2Call_behavior_accuracy,IFEval_prompt_strict_accuracy,IFEval_instruction_accuracy,FunctionChat_function_name_accuracy,primary_envelope_score,pareto_axes,is_pareto_point,dominated_by
r028,noised_gold_clean_3k,noised_gold_clean,single_source_clean,step50,0.7133333333333334,0.4765297500820921,0.5666666666666667,0.5729166666666666,0.7295597484276729,0.95,0.594932,"BFCL_core_accuracy,When2Call_macro_F1,ifeval_style.prompt_level_strict_accuracy",True,
r028,noised_gold_clean_3k,noised_gold_clean,single_source_clean,final,0.6933333333333334,0.47945062669076555,0.5766666666666667,0.5208333333333334,0.7044025157232704,0.94,0.586392,"BFCL_core_accuracy,When2Call_macro_F1,ifeval_style.prompt_level_strict_accuracy",False,s3d001:step50;s3d001:final;s5r002:step50
r029,behavior_clean_3k,behavior_clean,single_source_clean,step50,0.68,0.5296360748883332,0.6333333333333333,0.5833333333333334,0.7232704402515723,0.92,0.604818,"BFCL_core_accuracy,When2Call_macro_F1,ifeval_style.prompt_level_strict_accuracy",True,
r029,behavior_clean_3k,behavior_clean,single_source_clean,final,0.66,0.5277754413117107,0.64,0.5625,0.7169811320754716,0.9,0.593888,"BFCL_core_accuracy,When2Call_macro_F1,ifeval_style.prompt_level_strict_accuracy",False,r029:step50;s3d002:final
s3d001,noised_gold_unfiltered_3k,noised_gold_unfiltered,single_source_unfiltered_control,step50,0.71,0.48203144003800225,0.5766666666666667,0.5729166666666666,0.7295597484276729,0.95,0.596016,"BFCL_core_accuracy,When2Call_macro_F1,ifeval_style.prompt_level_strict_accuracy",True,
s3d001,noised_gold_unfiltered_3k,noised_gold_unfiltered,single_source_unfiltered_control,final,0.6966666666666667,0.4867582417582418,0.5933333333333334,0.53125,0.6981132075471698,0.94,0.591712,"BFCL_core_accuracy,When2Call_macro_F1,ifeval_style.prompt_level_strict_accuracy",True,
s3d002,behavior_unfiltered_3k,behavior_unfiltered,single_source_unfiltered_control,step50,0.6833333333333333,0.5240981760289158,0.6266666666666667,0.5833333333333334,0.7232704402515723,0.92,0.603716,"BFCL_core_accuracy,When2Call_macro_F1,ifeval_style.prompt_level_strict_accuracy",True,
s3d002,behavior_unfiltered_3k,behavior_unfiltered,single_source_unfiltered_control,final,0.6633333333333333,0.5291562444166518,0.64,0.5625,0.7232704402515723,0.9,0.596245,"BFCL_core_accuracy,When2Call_macro_F1,ifeval_style.prompt_level_strict_accuracy",False,r029:step50
s5r002,mixed_clean_noised_gold_1500_behavior_1500_3k,mixed_clean_noised_gold_1500_behavior_1500,mixed_source_clean,step50,0.7,0.5129910098941388,0.6133333333333333,0.5208333333333334,0.6981132075471698,0.94,0.606496,"BFCL_core_accuracy,When2Call_macro_F1,ifeval_style.prompt_level_strict_accuracy",True,
s5r002,mixed_clean_noised_gold_1500_behavior_1500_3k,mixed_clean_noised_gold_1500_behavior_1500,mixed_source_clean,final,0.6866666666666666,0.5224556883897543,0.63,0.5416666666666666,0.7044025157232704,0.95,0.604561,"BFCL_core_accuracy,When2Call_macro_F1,ifeval_style.prompt_level_strict_accuracy",True,
